artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,281560,4,warm_fuzzy_feeling
Various Artists,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),Turning Page,42BAwiGC1egjbiJ6y512Tz,0.304,0.379,3,-8.484,1,0.029,0.025,0.112,0.189,125.203,255373,4,warm_fuzzy_feeling
Iron & Wine,The Shepherd's Dog,"Flightless Bird, American Mouth",6iWwfN1euztxZi1OK38HbU,0.359,0.391,3,-8.034,1,0.026,0.0708,0.163,0.19,154.66,242226,3,warm_fuzzy_feeling
Death Cab for Cutie,Plans,I Will Follow You into the Dark,3kZC0ZmFWrEHdUCmUqlvgZ,0.517,0.206,5,-12.233,1,0.0421,0.0,0.118,0.489,80.401,189187,4,warm_fuzzy_feeling
Howie Day,Stop All The World Now,Collide,6dwkFmLUz6hx2CZG2EqLol,0.636,0.625,11,-7.895,1,0.0277,5.35e-05,0.119,0.342,93.931,249120,4,warm_fuzzy_feeling
The Civil Wars,Barton Hollow,Poison & Wine,3wsZYuHJrk3lssa7V7jvye,0.285,0.186,1,-12.729,1,0.0288,7.3e-05,0.104,0.203,153.848,219467,4,warm_fuzzy_feeling
Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0,0.184,0.591,78.998,281560,4,love_songs_heart
JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0,0.109,0.604,75.801,208687,4,love_songs_heart
Rihanna,ANTI (Deluxe),Love On The Brain,26QRPeQOgmIGLCQKgoUJkG,0.509,0.637,4,-4.83,0,0.0471,1.08e-05,0.0789,0.378,172.006,224000,3,love_songs_heart
Lewis Capaldi,Breach,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,0.501,0.405,1,-5.679,1,0.0319,0,0.105,0.446,109.891,182161,4,love_songs_heart
Lady Gaga,Shallow,Shallow,5lK18Pt33xNudq4qYDxIm8,0.572,0.385,7,-6.362,1,0.0308,0,0.231,0.323,95.799,215733,4,love_songs_heart
James Arthur,Say You Won't Let Go,Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,0.4,0.564,10,-7.444,1,0.0523,0,0.0863,0.483,99.269,211240,4,love_songs_heart
Birdy,Birdy (Deluxe Version),Skinny Love,0HRshWRNAwQBROvxXqG3i9,0.379,0.29,4,-8.485,1,0.051,0.00106,0.118,0.169,166.467,201080,4,love_songs_heart
